EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
UNIPHOTO IN Equity,UNIVERSUS PHOTO,2873483550.00,2873483550.00,262.50,3.30,25.24,245960000.00
ITCONS IN Equity,ITCONS E-SOLUTIO,2873213340.60,2873213340.60,488.10,84.09,-23.35,559841000.00
VAVE IN Equity,VAARAD VENTURES,2871385470.00,2871385470.00,11.49,,-15.27,1003060.00
CTW IN Equity,COASTAL CORP LTD,2869477845.60,2869477845.60,42.54,12.70,-19.36,6282187000.00
GRETEX IN Equity,GRETEX INDUSTRIE,2868621100.00,2868621100.00,185.00,171.30,-19.18,35018000.00
EKI IN Equity,EKI ENERGY SERVI,2862504513.70,2862504513.70,103.55,,-59.51,4063741000.00
EMMFORCE IN Equity,EMMFORCE AUTOTEC,2857644240.00,2857644240.00,139.40,35.41,7.07,813307000.00
KAVDEFEN IN Equity,KAVVERI DEFENCE,2856157263.40,2856157263.40,83.09,26.13,28.52,171200000.00
BHAVIK IN Equity,BHAVIK ENTERPRIS,2850121260.00,2850121260.00,140.00,39.11,,5272671000.00
PYC IN Equity,PANYAM CEMENTS,2849617437.95,2849617437.95,120.55,,-35.69,835221000.00
SVGM IN Equity,SV GLOBAL MILL L,2839930438.50,2839930438.50,157.05,826.58,10.06,66487000.00
RDBR IN Equity,RDB RASAYANS,2832596520.00,2832596520.00,159.90,10.70,0.85,1483700000.00
BHARATRO IN Equity,BHARATROHAN AIRB,2828072689.00,2828072689.00,141.95,,,281723000.00
A2ZL IN Equity,A2Z INFRA ENGINE,2824962522.32,2824962522.32,16.04,31.45,-33.61,3362675000.00
SHANKARA IN Equity,SHANKARA BUILDIN,2823834012.70,2823834012.70,116.45,3.65,-32.59,56966900000.00
CANDOUR IN Equity,CANDOUR TECHTEX,2815386373.80,2815386373.80,150.10,400.61,48.85,1881018000.00
SBL IN Equity,SUNDARAM BRAKE,2814794955.00,2814794955.00,715.40,54.40,-45.72,3522130000.00
PRIZOR IN Equity,PRIZOR VIZTECH L,2814459189.75,2814459189.75,263.25,,45.97,356541000.00
SUGSLLOY IN Equity,SUGS LLOYD LTD,2812376100.00,2812376100.00,121.15,,,1761986000.00
EXATO IN Equity,EXATO TECHNOLOGI,2811258120.30,2811258120.30,279.30,,,1242295000.00
GVH IN Equity,GLOBAL VECTRA,2810360000.00,2810360000.00,200.74,,-26.47,5421967000.00
GTVE IN Equity,GTV ENGINEERNG L,2806344784.80,2806344784.80,59.89,25.41,72.56,1027718446.00
GGAG IN Equity,GG AUTOMOTIVE GE,2801196000.00,2801196000.00,280.40,34.38,72.82,1143238000.00
SSPS IN Equity,S&S POWER SWITCH,2797582554.00,2797582554.00,226.68,,-45.00,1854981000.00
CHMP IN Equity,SURAJ PRODUCTS L,2795850000.00,2795850000.00,245.25,13.05,-48.76,3263727000.00
GOLDTECH IN Equity,AION-TECH SOLUTI,2793395134.20,2793395134.20,53.45,18.69,-32.12,889000000.00
UYFINCOR IN Equity,U Y FINCORP LTD,2775577220.11,2775577220.11,14.59,23.53,-40.06,1129942000.00
DUCOL IN Equity,DUCOL ORGANICS &,2764039633.80,2764039633.80,170.05,73.55,25.36,773534000.00
LYKA IN Equity,LYKA LABS LTD,2763476700.00,2763476700.00,77.43,34.88,-50.94,1335644000.00
SAHI IN Equity,SAHYADRI INDUSTR,2760109545.00,2760109545.00,252.15,14.18,-20.10,6005300000.00
PRATHAM IN Equity,PRATHAM EPC PROJ,2760102707.95,2760102707.95,151.55,20.05,-24.13,695534000.00
CURRENT IN Equity,CURRENT INFRAPRO,2757312000.00,2757312000.00,144.00,,,908842000.00
ANYA IN Equity,ANYA POLYTECH &,2754000000.00,2754000000.00,22.95,,,1234177000.00
SERA IN Equity,SERA INVESTMENTS,2752670790.00,2752670790.00,42.03,,26.67,-11128070.00
KOTYARK IN Equity,KOTYARK INDUSTRI,2751719353.20,2751719353.20,267.70,19.18,-71.10,2880983000.00
MUIL IN Equity,MULTIBASE INDIA,2749898000.00,2749898000.00,217.90,18.77,-35.64,707487000.00
STARTECK IN Equity,STARTECK FINANCE,2740206245.00,2740206245.00,276.50,26.28,-7.59,327109000.00
ECOLINE IN Equity,ECOLINE EXIM LTD,2728545008.00,2728545008.00,133.00,,,2721858000.00
FELIX IN Equity,FELIX INDUSTRIES,2727206475.00,2727206475.00,158.50,23.76,-13.36,368219000.00
NTR IN Equity,NUTRICIRCLE LTD,2720000000.00,2720000000.00,272.00,755.56,27.25,27048000.00
BYKE IN Equity,THE BYKE HOSPITA,2715386842.00,2715386842.00,51.94,57.71,-44.87,966405000.00
OSIAHYPE IN Equity,OSIA HYPER RETAI,2713823611.00,2713823611.00,16.49,11.29,-42.88,14271267000.00
SVJL IN Equity,S. V. J. ENTERPR,2713077000.00,2713077000.00,487.00,507.29,200.34,51720000.00
RXIL IN Equity,RADIX INDUSTRIES,2707293468.00,2707293468.00,180.40,103.09,-5.49,482526000.00
BR IN Equity,BARODA RAYON,2703540362.00,2703540362.00,118.00,0.99,-31.01,584400000.00
WITC IN Equity,WORTH INVESTMENT,2698819760.00,2698819760.00,7.28,145.60,-73.23,51233000.00
ATAL IN Equity,ATAL REALTECH LT,2698774650.00,2698774650.00,24.31,73.67,83.75,957282833.00
BAGDIGIT IN Equity,BAG CONVERGENCE,2697970420.00,2697970420.00,127.15,,,396803500.00
ACTIVEIN IN Equity,ACTIVE INFRASTRU,2687687864.00,2687687864.00,179.00,20.36,,897574000.00
NBGL IN Equity,NATH BIO-GENES I,2686215400.00,2686215400.00,141.35,7.06,-23.35,3649082000.00
INTD IN Equity,INDIAN TONERS,2685743135.40,2685743135.40,258.45,11.97,-8.78,1529882000.00
SGFRL IN Equity,SUYOG GURBAXANI,2685119976.00,2685119976.00,108.00,30.86,-58.30,530084788.00
RACE IN Equity,RACE ECO CHAIN L,2678662584.00,2678662584.00,155.22,67.21,-59.24,5550954000.00
PPG IN Equity,PODDAR PIGMENTS,2675311500.00,2675311500.00,252.15,11.72,-29.23,3684994000.00
CHAVDA IN Equity,CHAVDA INFRA LTD,2670244800.00,2670244800.00,108.30,12.65,-35.11,2614243000.00
CUDML IN Equity,CASH UR DRIVE MA,2666280380.00,2666280380.00,151.10,,,1393239000.00
VMSTMT IN Equity,VMS TMT LTD,2665195977.00,2665195977.00,53.70,7.72,,4937250550.00
PUSHPA IN Equity,PUSHPA JEWELLERS,2664520320.00,2664520320.00,110.00,,,2810607000.00
DIAMINES IN Equity,DIAMINES & CHEM,2660756080.50,2660756080.50,271.95,97.47,-44.46,693124000.00
CNINFOTE IN Equity,CAPITALNUMBERS I,2660099211.00,2660099211.00,108.90,,,997290000.00
MUNISH IN Equity,MUNISH FORGE LTD,2639304337.95,2639304337.95,109.65,,,1754460000.00
MDR IN Equity,MODI RUBBER LTD,2635515993.00,2635515993.00,105.25,12.85,-13.90,51852000.00
EMERALD IN Equity,EMERALD FINANCE,2634735533.32,2634735533.32,76.28,29.65,-39.32,216342100.00
CRYOGENI IN Equity,CRYOGENIC OGS LT,2634660000.00,2634660000.00,184.50,,,329046000.00
PHOT IN Equity,PHOENIX TOWNSHIP,2633302320.00,2633302320.00,132.00,3.29,-53.38,285910000.00
SATKARTA IN Equity,SAT KARTAR SHOPP,2627032560.60,2627032560.60,166.85,22.64,,1629213000.00
ARHAM IN Equity,ARHAM TECHNOLOGI,2622600000.00,2622600000.00,155.00,36.05,14.94,698935000.00
EEPL IN Equity,EPPELTONE ENGINE,2613893230.40,2613893230.40,201.70,16.84,,1243355000.00
JGTL IN Equity,JASCH GAUGING TE,2605900000.00,2605900000.00,575.00,17.75,-4.57,527303000.00
ASIIL IN Equity,ASI INDUSTRIES L,2605867146.30,2605867146.30,28.93,10.22,-42.59,1547656000.00
SRTL IN Equity,SURANA TELECOM,2605233689.97,2605233689.97,19.19,10.83,-18.51,159209000.00
PIGL IN Equity,POWER & INSTRUME,2603500003.00,2603500003.00,148.07,22.01,-55.51,1688400000.00
PVTBANIE IN Equity,ICICI NIFTY PRIV,2602113498.90,2602113498.90,29.11,,16.91,
MEGASTAR IN Equity,MEGASTAR FOODS L,2596960520.00,2596960520.00,259.60,77.26,15.92,3610039000.00
PIIL IN Equity,PIL ITALICA LIFE,2587350000.00,2587350000.00,11.01,50.05,-21.30,979977000.00
CCHH IN Equity,COUNTRY CLUB HOS,2582742813.00,2582742813.00,15.80,58.52,-15.28,460144000.00
IPSL IN Equity,INTEGRATED PERSO,2581953000.00,2581953000.00,300.00,34.92,-6.22,3162307000.00
GENCON IN Equity,GENERIC ENGINEER,2578056547.56,2578056547.56,45.24,21.25,11.29,3027847000.00
INDOUS IN Equity,INDO US BIO-TECH,2577484080.00,2577484080.00,128.54,15.83,-59.18,1038384012.00
CPA IN Equity,COMPETENT AUTO,2571170925.00,2571170925.00,401.15,11.96,-20.58,21387977000.00
NAGARFER IN Equity,NAGARJUNA FERTIL,2559718212.84,2559718212.84,4.28,0.11,-54.18,7031966000.00
GHL IN Equity,GRAVISS HOSPITAL,2559139409.15,2559139409.15,36.29,27.29,-33.43,611485000.00
NCAST IN Equity,NITIN CASTINGS L,2554983943.50,2554983943.50,496.95,20.59,-28.17,1505738000.00
KRISHCA IN Equity,KRISHCA STRAPPIN,2554200000.00,2554200000.00,180.00,20.59,-41.17,1492021000.00
STPM IN Equity,STAR PAPER MILLS,2552901726.00,2552901726.00,163.56,6.20,-22.52,4316621000.00
MERC IN Equity,MERCANTILE VENTU,2551734846.00,2551734846.00,22.80,14.71,-1.13,721853000.00
WAAREE IN Equity,WAAREE TECHNOLOG,2540203990.10,2540203990.10,235.90,,-51.23,102357000.00
FROG IN Equity,FROG INNOVATIONS,2535350900.00,2535350900.00,163.00,10.71,-47.39,2193896000.00
SIKKO IN Equity,SIKKO INDUSTRIES,2529071983.34,2529071983.34,5.52,,2.17,201405000.00
ILFS IN Equity,IL & FS INVESTME,2527963557.00,2527963557.00,8.05,19.17,-19.49,290757000.00
SNJVP IN Equity,SANJIVANI PARANT,2523809435.00,2523809435.00,205.45,29.82,-47.00,700986125.00
ELGI IN Equity,ELGI RUBBER CO L,2504001500.00,2504001500.00,50.03,,-63.23,3839220000.00
JTI IN Equity,JAYSHREE TEA,2499346586.40,2499346586.40,86.55,3.20,-31.96,8581365000.00
DCMNVL IN Equity,DCM NOUVELLE LTD,2499269593.69,2499269593.69,133.81,28.05,-35.54,10758844000.00
TCL IN Equity,THAAI CASTING LT,2494997292.50,2494997292.50,102.50,20.22,-27.77,1065127000.00
DRCSYSTE IN Equity,DRC SYSTEMS INDI,2494047822.30,2494047822.30,17.31,15.18,-41.95,653770000.00
TEAMGTY IN Equity,TEAM INDIA GUARA,2492451245.35,2492451245.35,277.15,106.60,71.97,35293000.00
SHPLPUNE IN Equity,SAYAJI HOTELS PU,2482983075.00,2482983075.00,815.00,17.98,2.52,650928000.00
BTTL IN Equity,BHILWARA TECHNIC,2482616661.65,2482616661.65,42.53,34.02,-7.50,81950000.00
OKP IN Equity,OK PLAY INDIA,2482449066.00,2482449066.00,6.84,,-60.02,1677904000.00
TUNWAL IN Equity,TUNWAL E-MOTORS,2477887892.80,2477887892.80,42.95,15.07,-13.47,1046007000.00
MABNKTF IN Equity,MA-NIFTY-BANK-E,2476327214.10,2476327214.10,605.73,,18.06,
EARKART IN Equity,EARKART LTD,2475707760.00,2475707760.00,180.00,,,431062000.00
AEIM IN Equity,ARTIFICIAL ELECT,2475316056.00,2475316056.00,145.90,42.54,-61.89,260961000.00
CORD IN Equity,CORDS CABLE IND,2474764925.40,2474764925.40,191.43,16.87,-7.69,7945629000.00
SHETHJI IN Equity,SHREEJI GLOBAL F,2471736000.00,2471736000.00,108.60,,,6489215000.00
VSTL IN Equity,VIBHOR STEEL TUB,2471564820.62,2471564820.62,130.34,20.99,-39.12,9963792000.00
KMSM IN Equity,KM SUGAR MILLS,2471124566.20,2471124566.20,26.86,6.96,-13.21,6590052000.00
RRECL IN Equity,RDB REAL ESTATE,2469797860.00,2469797860.00,142.90,,,160942000.00
SHYI IN Equity,SHREYANS INDUSTR,2466161474.50,2466161474.50,178.39,4.87,-20.48,6167663000.00
AVEER IN Equity,AVEER FOODS LTD,2465088811.40,2465088811.40,611.95,62.57,-1.99,1085189000.00
NSL IN Equity,NORTHERN SPIRITS,2459846400.00,2459846400.00,153.25,10.69,-18.46,19426138000.00
AVG IN Equity,AVG LOGISTICS LT,2458022212.80,2458022212.80,163.24,10.88,-56.11,5515177000.00
UCAL IN Equity,UCAL LTD,2455054647.50,2455054647.50,111.02,,-44.03,8022947000.00
PPARIVAH IN Equity,PARADEEP PARIVAH,2451372000.00,2451372000.00,154.00,,,2112695000.00
AGRIBIO IN Equity,AGRIBIO SPIRITS,2442422782.80,2442422782.80,224.40,62.68,72.08,200750000.00
ALSE IN Equity,ALACRITY SECURIT,2440318000.00,2440318000.00,52.30,20.27,-65.63,3412030000.00
UNIVASTU IN Equity,UNIVASTU INDIA,2437383932.10,2437383932.10,67.73,22.31,-29.07,1711778000.00
KARBON IN Equity,KARBONSTEEL ENGI,2435928839.50,2435928839.50,172.25,13.48,,2730535000.00
COMMITTE IN Equity,COMMITTED CARGO,2428862220.00,2428862220.00,211.95,55.63,56.15,1425981000.00
VLEGOV IN Equity,VL E-GOVERNANCE,2428225256.31,2428225256.31,22.39,,-87.80,306886000.00
PE IN Equity,PRECISION ELECTR,2425566876.80,2425566876.80,175.15,,40.06,471000000.00
PANA IN Equity,PANASONIC ENERGY,2425500000.00,2425500000.00,323.40,20.60,-27.25,2684147000.00
AFFORDAB IN Equity,AFFORDABLE ROBOT,2422220771.08,2422220771.08,215.38,,-66.86,1625585000.00
SPN IN Equity,SAMPRE NUTRITION,2420631534.00,2420631534.00,27.70,,73.94,251242000.00
NCML IN Equity,NILACHAL CARBO M,2414179950.00,2414179950.00,96.85,,,2015120000.00
ELGNZ IN Equity,ELEGANZ INTERIOR,2410250112.90,2410250112.90,106.65,12.17,,3927062000.00
SMTEL IN Equity,SMT ENGINEERING,2408616000.00,2408616000.00,145.80,83.33,1469.43,184332000.00
ANLON IN Equity,ANLON TECHNOLOGY,2408329000.00,2408329000.00,385.00,47.77,4.05,350207000.00
TRADEUNO IN Equity,GAME CHANGERS TE,2398531716.70,2398531716.70,134.05,,,1150088500.00
RBS IN Equity,RAMDEVBABA SOLVE,2398155615.00,2398155615.00,104.90,,-25.60,6977526000.00
IWP IN Equity,INDIAN WOOD PROD,2391300273.60,2391300273.60,37.38,45.04,-22.62,2215635000.00
MANBRO IN Equity,MANBRO INDUSTRIE,2390032600.00,2390032600.00,412.00,392.38,-62.34,19570000.00
IGC IN Equity,INDIA GELATINE,2384076645.00,2384076645.00,336.15,13.71,-13.96,1985287000.00
RRIL IN Equity,RRIL LTD,2383072941.40,2383072941.40,19.66,34.49,-4.38,1128600000.00
EMERGENT IN Equity,EMERGENT INDUSTR,2382276600.00,2382276600.00,521.40,63.05,41.30,7698137000.00
RUDRA IN Equity,RUDRA GLOBAL INF,2381159038.44,2381159038.44,23.73,21.00,-45.42,5575348000.00
PKTP IN Equity,PERIA KARAMALAI,2379183011.50,2379183011.50,768.50,985.26,3.89,505710000.00
BASM IN Equity,BANNARI AMMAN SP,2378279164.28,2378279164.28,29.32,,-43.06,8718710000.00
SHIVASHR IN Equity,SHIVASHRIT FOODS,2376796900.00,2376796900.00,130.10,15.06,,1046934000.00
NTCIL IN Equity,NTC INDUSTRIES L,2374582450.00,2374582450.00,163.55,20.89,-29.85,482113000.00
PSER IN Equity,PONNI SUGARS ERO,2373593288.90,2373593288.90,276.05,12.31,-31.36,3594600000.00
SKIDC IN Equity,LANDMARC LEISURE,2371600000.00,2371600000.00,2.42,806.67,1.68,11546000.00
CHEMKART IN Equity,CHEMKART INDIA L,2370799050.00,2370799050.00,195.95,7.67,,2032785000.00
PCIC IN Equity,PANASONIC CARBON,2360400000.00,2360400000.00,491.75,11.33,-8.68,532324830.00
SDHP IN Equity,SUDITI INDUS,2359546291.96,2359546291.96,59.56,58.75,25.31,954768000.00
RTU IN Equity,RATHI STEEL,2357710009.20,2357710009.20,27.30,16.85,-33.63,5031522000.00
ABITETF IN Equity,ABSL-NIFT-IT-ETF,2352738813.80,2352738813.80,41.59,,-8.69,
ANKA IN Equity,ANKA INDIA LTD,2348791041.45,2348791041.45,45.57,268.06,122.73,0.00
ENVIRO IN Equity,ENVIROTECH SYSTE,2348750000.00,2348750000.00,125.00,,2.00,462398000.00
MLR IN Equity,MAHALAXMI RUBTEC,2348036599.75,2348036599.75,221.09,13.99,-9.27,921224000.00
METAINFO IN Equity,META INFOTECH LT,2346013950.00,2346013950.00,124.25,15.12,,2188235000.00
AHEL IN Equity,ASIAN HOTELS EAS,2342678974.08,2342678974.08,135.48,13.37,-19.66,1130228000.00
KSRP IN Equity,KESAR PETRO PROD,2341424177.40,2341424177.40,24.22,23.51,-16.57,1851687000.00
RENPL IN Equity,RUDRABHISHEK ENT,2335990250.00,2335990250.00,128.90,16.76,-58.00,1079654000.00
TTXK IN Equity,TT LTD,2335130933.76,2335130933.76,9.04,48.86,-38.67,2144315000.00
DIVINEHI IN Equity,DIVINE HIRA JEWE,2334126190.00,2334126190.00,178.90,,,1832561000.00
SKTF IN Equity,SAKTHI FINANCE,2331352928.46,2331352928.46,36.03,14.02,-38.40,4228225000.00
TRISHAKT IN Equity,TRISHAKTI INDUST,2329784170.00,2329784170.00,141.40,61.48,-18.81,163870000.00
ATSL IN Equity,AJANTA SOYA LTD,2327568070.80,2327568070.80,28.92,8.57,-40.30,13298112000.00
RADIOCIT IN Equity,MUSIC BROADCAST,2326464256.25,2326464256.25,6.73,,-45.73,2344811000.00
KF IN Equity,KALYANI FORGE,2326137200.00,2326137200.00,639.40,27.97,-4.84,2366433000.00
INNIL IN Equity,INNOVASSYNTH INV,2322415812.15,2322415812.15,82.99,,-13.46,0.00
MIZVEN IN Equity,MIZZEN VENTURES,2320816750.00,2320816750.00,109.55,542.37,46.09,5039000.00
NEXT50IE IN Equity,IPRU-NIF-NEXT-50,2319733623.90,2319733623.90,72.23,,1.83,
PURPLEFI IN Equity,PURPLE FINANCE L,2318471431.20,2318471431.20,42.60,,-35.99,148500000.00
LICMFGLD IN Equity,LIC MF GOLD ETF,2318468079.50,2318468079.50,11652.35,,68.50,
KTSG IN Equity,KOTHARI SUGARS,2314249153.60,2314249153.60,27.92,22.16,-36.33,3100158000.00
PAUTO IN Equity,PRITIKA AUTO IND,2312860944.63,2312860944.63,13.89,13.49,-44.19,3568865000.00
WARDWIZF IN Equity,WARDWIZARD FOODS,2311688600.00,2311688600.00,8.99,,65.56,927790000.00
SVTY IN Equity,SHIVA TEXYARN LT,2311122100.77,2311122100.77,178.29,17.83,-20.00,3227074000.00
GILLA IN Equity,GILLANDERS ARBUT,2309028413.74,2309028413.74,108.19,8.64,-14.76,4395200000.00
SELL IN Equity,SELLWIN TRADERS,2308649225.00,2308649225.00,9.83,77.41,118.44,742854000.00
DPSBETF IN Equity,DSP NI PSUBK ETF,2308373783.10,2308373783.10,84.21,,28.55,
BBRG IN Equity,BIMETAL BEARINGS,2306475000.00,2306475000.00,603.00,20.50,-10.65,2390782000.00
ALFRD IN Equity,ALFRED HERBERT,2291144130.00,2291144130.00,2970.00,36.10,48.14,104358000.00
MKPL IN Equity,M K PROTEINS LTD,2289769200.00,2289769200.00,6.10,27.73,-25.06,2677059633.37
SHILINDO IN Equity,SAYAJI HOTELS IN,2288000355.00,2288000355.00,751.00,31.85,2.84,961045000.00
VIRL IN Equity,VIRINCHI LTD,2285946373.92,2285946373.92,22.27,318.14,-22.99,3011303000.00
ZDC IN Equity,ZODIAC CLOTHING,2284327849.96,2284327849.96,87.88,,-32.65,1744025000.00
OMTX IN Equity,OMNITEX INDS IND,2280724250.00,2280724250.00,542.50,182.66,91.12,31856000.00
SICI IN Equity,SICAGEN INDIA LT,2280516148.92,2280516148.92,57.63,13.34,-33.76,8918800000.00
AIRAN IN Equity,AIRAN LTD,2277864400.00,2277864400.00,18.22,12.48,-44.84,1064984000.00
VJS IN Equity,VIJAY SOLVEX LTD,2267454582.90,2267454582.90,708.30,12.31,-23.87,18307301000.00
ZLL IN Equity,ZEE LEARN LTD,2266539694.65,2266539694.65,6.93,17.77,-16.10,3719375000.00
DEB IN Equity,DECCAN BEARINGS,2260000000.00,2260000000.00,113.00,,22.61,0.00
STSG IN Equity,SAKTHI SUGARS,2259320174.36,2259320174.36,19.01,2.82,-38.12,9143705000.00
SSAI IN Equity,SUPER SALES INDI,2255402450.00,2255402450.00,734.30,,-46.40,4037749000.00
AGARWALT IN Equity,AGARWAL TOUGHENE,2255278960.00,2255278960.00,127.60,14.87,-5.24,553062000.00
RVTH IN Equity,REVATHI EQUIPMEN,2255123187.90,2255123187.90,735.30,11.18,-62.99,1772700000.00
REGENCY IN Equity,REGENCY FINCORP,2249961892.12,2249961892.12,32.39,41.53,-21.69,216644000.00
ATH IN Equity,AVANCE TECHNOLOG,2239566695.90,2239566695.90,1.13,4.22,31.40,1717654000.00
NMA IN Equity,NEELAMALAI AGRO,2239423200.00,2239423200.00,3600.00,9.65,-14.88,232367000.00
MKEX IN Equity,MK EXIM LTD,2236749322.50,2236749322.50,55.41,12.42,-35.52,926941000.00
PSRAJ IN Equity,P S RAJ STEELS L,2235110101.00,2235110101.00,296.50,,,2977493000.00
IWARE IN Equity,IWARE SUPPLYCHAI,2232678600.00,2232678600.00,208.35,20.43,,858225000.00
INFLAME IN Equity,INFLAME APPLIANC,2231194350.00,2231194350.00,297.85,71.43,-22.70,1061770000.00
WORTHPER IN Equity,WORTH PERIPHERAL,2227033890.00,2227033890.00,141.39,14.03,-17.80,2384575000.00
FINBUD IN Equity,FINBUD FINANCIAL,2226884212.00,2226884212.00,116.90,,,2506257000.00
UNTEA IN Equity,UNITED NILGIRI T,2223471870.00,2223471870.00,445.00,12.01,-17.84,885592000.00
VOLERCAR IN Equity,VOLER CAR LTD,2217004696.65,2217004696.65,198.95,,,308971000.00
LES IN Equity,TRIGYN TECHNOLOG,2215957277.28,2215957277.28,71.98,18.84,-33.80,8980518000.00
DEVIT IN Equity,DEV INFORMATION,2210031190.59,2210031190.59,39.23,14.84,-40.37,1700743000.00
HVAX IN Equity,HVAX TECHNOLOGIE,2207615625.00,2207615625.00,795.00,,23.04,1060613000.00
RIKHAV IN Equity,RIKHAV SECURITIE,2207533800.00,2207533800.00,57.65,7.68,,3179148000.00
GBRG IN Equity,GALAXY BEARINGS,2201514000.00,2201514000.00,692.30,16.06,-34.20,1042186000.00
LOTEYE IN Equity,LOTUS EYE HOSPIT,2198380044.30,2198380044.30,105.71,320.33,58.63,503147000.00
RAJT IN Equity,RAJ TELEVISION,2198010984.96,2198010984.96,42.34,,-47.07,1258206000.00
ABEL IN Equity,ABANS ENTERPRISE,2194299764.80,2194299764.80,31.46,11.65,-22.46,39741791000.00
ENFUSE IN Equity,ENFUSE SOLUTIONS,2193762420.00,2193762420.00,247.95,,14.26,530231000.00
SYSC IN Equity,SYSCHEM INDIA LT,2191314680.00,2191314680.00,50.36,437.91,1.10,3862310000.00
LGBF IN Equity,LGB FORGE LTD,2189080634.97,2189080634.97,9.19,,-43.38,940376000.00
EQUIPPP IN Equity,EQUIPPP SOCIAL I,2188711626.75,2188711626.75,21.23,353.83,-17.87,71396000.00
OXYGENTA IN Equity,OXYGENTA PHARMAC,2183875675.00,2183875675.00,59.05,,-32.49,1092986000.00
ARVEE IN Equity,ARVEE LABORATORI,2176229600.00,2176229600.00,197.48,101.27,13.64,384872010.00
MAKEINDI IN Equity,MA-NFTY-MANUFCTR,2176162559.70,2176162559.70,154.39,,10.55,
KCK IN Equity,KCK INDUSTRIES L,2175178140.00,2175178140.00,34.20,58.92,-44.57,767026000.00
HIMTEK IN Equity,HIM TEKNOFORGE L,2174637113.60,2174637113.60,229.60,22.29,2.20,4029779000.00
ESCONET IN Equity,ESCONET TECHNOLO,2174080210.50,2174080210.50,164.75,,-52.18,965926000.00
KAMOPAIN IN Equity,KAMDHENU VENTURE,2165905950.00,2165905950.00,6.89,15.59,-62.60,2917090000.00
ATISHAY IN Equity,ATISHAY LTD,2160028201.10,2160028201.10,196.70,30.83,-5.81,511476000.00
GAYP IN Equity,GAYATRI PROJECT,2158400838.05,2158400838.05,11.53,,49.35,10172097000.00
LLFICL IN Equity,LEADING LEASING,2157955035.00,2157955035.00,3.97,46.43,-57.03,288887000.00
ORGANICR IN Equity,ORGANIC RECYCLIN,2157025402.50,2157025402.50,249.10,12.22,-27.16,437729000.00
EMMIL IN Equity,ENERGY-MISSION M,2152035000.00,2152035000.00,190.00,20.06,-40.75,995634000.00
AMJLAND IN Equity,AMJ LAND HOLDING,2151680000.00,2151680000.00,52.48,10.52,-21.04,776458000.00
FORCAS IN Equity,FORCAS STUDIO LT,2146518000.00,2146518000.00,122.10,22.12,13.58,1422447000.00
AD IN Equity,AAREY DRUGS & PH,2144152392.86,2144152392.86,75.62,53.29,32.43,4739433000.00
CMF IN Equity,COMFORT INTECH,2143585136.00,2143585136.00,6.70,19.14,-46.64,1823371000.00
NCSL IN Equity,NIRAJ CEMENT STR,2143026806.00,2143026806.00,35.90,10.23,-50.13,5071423000.00
TRUEGREE IN Equity,TRUE GREEN BIO E,2136611580.69,2136611580.69,64.83,,-41.06,232927000.00
ICONIKSP IN Equity,ICONIK SPORTS AN,2136107040.00,2136107040.00,63.12,3.03,279.33,127119000.00
AASHKA IN Equity,AASHKA HOSPITALS,2135250000.00,2135250000.00,91.25,65.18,-16.59,226468000.00
ACSTECH IN Equity,ACS TECHNOLOGIES,2132958521.20,2132958521.20,35.15,43.94,,1265804797.00
CBC IN Equity,CHEMBOND MATERIA,2131957096.64,2131957096.64,158.53,12.14,-69.66,1988582000.00
BMEC IN Equity,BRADY & MORRIS,2128500000.00,2128500000.00,946.00,8.86,-42.40,903060000.00
SADHNANI IN Equity,SADHANA NITRO,2127995428.22,2127995428.22,6.46,23.93,-83.96,1893573000.00
VSCL IN Equity,VETO SWITCHGEARS,2126921042.85,2126921042.85,111.27,9.61,-13.72,3003784000.00
SARA IN Equity,AMBALAL SARABHAI,2126573964.00,2126573964.00,27.75,43.36,-48.21,1953058000.00
JYTI IN Equity,JYOTI LTD,2121981586.92,2121981586.92,91.89,13.07,-4.88,2449182000.00
MACOBSTE IN Equity,MACOBS TECHNOLOG,2119191520.00,2119191520.00,216.35,74.60,30.33,236125000.00
SAPP IN Equity,SHREE AJIT PULP,2117983039.20,2117983039.20,239.30,21.16,15.05,5049719000.00
VGIL IN Equity,VEER GLOBAL INFR,2115705455.00,2115705455.00,130.25,61.44,-17.04,93041000.00
JAYSYNTH IN Equity,JAYSYNTH ORGOCHE,2115322944.00,2115322944.00,15.68,13.52,-43.57,2280285000.00
INDOWIND IN Equity,INDOWIND ENERGY,2112348470.40,2112348470.40,16.40,150.54,-31.00,335125000.00
AHDC IN Equity,ALPINE HOUSING,2110673271.30,2110673271.30,121.85,41.73,10.77,553836000.00
UVDH IN Equity,UNITED VAN DER H,2110559000.00,2110559000.00,153.25,48.50,27.66,300419000.00
ROST IN Equity,ROSSELL INDIA LT,2107609917.25,2107609917.25,55.91,10.71,-25.59,1773500000.00
GAMCO IN Equity,GAMCO LTD,2107228500.00,2107228500.00,39.00,6.35,-28.65,2201228000.00
DIKSAT IN Equity,DIKSAT TRANSWORL,2105145000.00,2105145000.00,120.00,2033.97,-13.36,45355000.00
AMEL IN Equity,AMBA ENTERPRISES,2102905728.00,2102905728.00,166.10,28.34,-18.77,3367976000.00
